OncogeneID	OncogeneName	Alias	Links	Cytoband	FullName	GeneType
10221	TRIB1	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1	MIM:609461|HGNC:HGNC:16891|Ensembl:ENSG00000173334|HPRD:09863|Vega:OTTHUMG00000165007	8q24.13	tribbles pseudokinase 1	protein-coding
7295	TXN	TRDX|TRX|TRX1	MIM:187700|HGNC:HGNC:12435|Ensembl:ENSG00000136810|HPRD:01761|Vega:OTTHUMG00000020480	9q31	thioredoxin	protein-coding
867	CBL	C-CBL|CBL2|FRA11B|NSLL|RNF55	MIM:165360|HGNC:HGNC:1541|Ensembl:ENSG00000110395|HPRD:01320|Vega:OTTHUMG00000166170	11q23.3	Cbl proto-oncogene, E3 ubiquitin protein ligase	protein-coding
673	BRAF	B-RAF1|BRAF1|NS7|RAFB1	MIM:164757|HGNC:HGNC:1097|Ensembl:ENSG00000157764|HPRD:01264|Vega:OTTHUMG00000157457	7q34	B-Raf proto-oncogene, serine/threonine kinase	protein-coding
5979	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1|RET51	MIM:164761|HGNC:HGNC:9967|Ensembl:ENSG00000165731|HPRD:01266|Vega:OTTHUMG00000018024	10q11.2	ret proto-oncogene	protein-coding
596	BCL2	Bcl-2|PPP1R50	MIM:151430|HGNC:HGNC:990|HPRD:01045	18q21.3	B-cell CLL/lymphoma 2	protein-coding
5290	PIK3CA	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha	MIM:171834|HGNC:HGNC:8975|Ensembl:ENSG00000121879|HPRD:01382|Vega:OTTHUMG00000157311	3q26.3	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	protein-coding
5156	PDGFRA	CD140A|GAS9|PDGFR-2|PDGFR2|RHEPDGFRA	MIM:173490|HGNC:HGNC:8803|Ensembl:ENSG00000134853|HPRD:01429|Vega:OTTHUMG00000128699	4q12	platelet derived growth factor receptor alpha	protein-coding
4893	NRAS	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6	MIM:164790|HGNC:HGNC:7989|Ensembl:ENSG00000213281|HPRD:01273|Vega:OTTHUMG00000012059	1p13.2	neuroblastoma RAS viral (v-ras) oncogene homolog	protein-coding
4233	MET	AUTS9|DFNB97|HGFR|RCCP2|c-Met	MIM:164860|HGNC:HGNC:7029|Ensembl:ENSG00000105976|HPRD:01280|Vega:OTTHUMG00000023299	7q31	MET proto-oncogene, receptor tyrosine kinase	protein-coding
3845	KRAS	C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RALD|RASK2	MIM:190070|HGNC:HGNC:6407|Ensembl:ENSG00000133703|HPRD:01817|Vega:OTTHUMG00000171193	12p12.1	Kirsten rat sarcoma viral oncogene homolog	protein-coding
3815	KIT	C-Kit|CD117|PBT|SCFR	MIM:164920|HGNC:HGNC:6342|Ensembl:ENSG00000157404|HPRD:01287|Vega:OTTHUMG00000128713	4q12	KIT proto-oncogene receptor tyrosine kinase	protein-coding
